,time_left,ct_score,t_score,map,bomb_planted,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive
40513,109.87,11,1,de_mirage,0,500,500,498,500,14850,2450,5,3,4,5,5
40514,89.87,11,1,de_mirage,0,399,252,398,290,12200,2350,4,2,3,4,3
40515,69.87,11,1,de_mirage,0,174,252,196,290,2050,2750,2,2,2,2,3
40516,49.87,11,1,de_mirage,0,74,178,96,195,1900,2850,1,2,1,1,2
40517,174.94,12,1,de_mirage,0,500,500,85,0,32600,20450,1,0,1,5,5
40518,114.94,12,1,de_mirage,0,500,500,485,400,7300,10950,5,4,4,5,5
40519,94.94,12,1,de_mirage,0,495,400,484,400,7600,7450,5,4,4,5,4
40520,174.95,13,1,de_mirage,0,500,500,484,0,24850,26650,5,0,4,5,5
40521,114.95,13,1,de_mirage,0,500,500,484,500,20150,1900,5,5,4,5,5
40522,94.95,13,1,de_mirage,0,500,500,484,500,20150,1900,5,5,4,5,5
40523,74.95,13,1,de_mirage,0,240,139,269,178,10400,1350,3,2,3,3,2
40524,174.94,1,14,de_mirage,0,500,500,0,0,4000,4000,0,0,0,5,5
40525,114.94,1,14,de_mirage,0,500,500,500,300,750,450,0,0,0,5,5
40526,94.94,1,14,de_mirage,0,500,500,500,300,750,450,0,0,0,5,5
40527,74.94,1,14,de_mirage,0,296,183,355,100,1500,150,0,0,0,4,2
40528,174.95,2,14,de_mirage,0,500,500,355,0,18500,10250,0,0,0,5,5
40529,114.95,2,14,de_mirage,0,500,500,462,400,450,1750,3,4,1,5,5
40530,94.95,2,14,de_mirage,0,500,500,462,400,450,450,3,4,1,5,5
40531,74.95,2,14,de_mirage,0,500,500,462,400,450,450,3,4,1,5,5
40532,174.95,3,14,de_mirage,0,500,500,286,0,18800,13150,2,0,1,5,5
40533,114.95,3,14,de_mirage,0,500,500,486,0,10550,11950,5,0,1,5,5
40534,94.95,3,14,de_mirage,0,400,289,386,0,8200,7050,4,0,1,4,3
40535,174.95,4,14,de_mirage,0,500,500,386,0,28300,25850,4,0,1,5,5
40536,114.95,4,14,de_mirage,0,500,500,486,500,15250,1600,5,5,3,5,5
40537,94.95,4,14,de_mirage,0,500,300,486,300,15650,1400,5,3,3,5,3
40538,74.95,4,14,de_mirage,0,500,132,486,193,15950,1150,5,2,3,5,2
40539,54.95,4,14,de_mirage,0,500,132,486,193,15950,1150,5,2,3,5,2
40540,34.95,4,14,de_mirage,0,400,132,386,193,11150,1450,4,2,3,4,2
40541,14.95,4,14,de_mirage,0,400,132,386,193,11150,1450,4,2,3,4,2
40542,174.95,5,14,de_mirage,0,500,500,286,193,32200,12400,3,2,2,5,5
40543,114.95,5,14,de_mirage,0,500,500,486,393,21200,3050,5,3,3,5,5
40544,94.95,5,14,de_mirage,0,300,449,300,393,10200,3650,3,3,2,3,5
40545,39.45,5,14,de_mirage,1,64,285,100,391,2300,4550,1,3,1,1,4
40546,19.45,5,14,de_mirage,1,64,285,100,391,2300,4550,1,3,1,1,4
40547,174.95,5,15,de_mirage,0,500,500,100,356,23800,22050,1,3,1,5,5
40548,114.95,5,15,de_mirage,0,500,500,500,465,2500,12400,4,5,4,5,5
40549,94.95,5,15,de_mirage,0,479,474,500,465,2500,12400,4,5,4,5,5
40550,74.95,5,15,de_mirage,0,479,474,500,465,2500,12400,4,5,4,5,5
40551,54.95,5,15,de_mirage,0,479,474,500,465,2500,12400,4,5,4,5,5
40552,174.93,0,0,de_inferno,0,500,500,0,0,4000,4000,0,0,0,5,5
40553,175.0,0,0,de_inferno,0,500,500,200,0,1900,4000,0,0,1,5,5
40554,175.0,0,0,de_inferno,0,500,500,300,0,1250,4000,0,0,1,5,5
40555,174.25,0,0,de_inferno,0,500,500,300,300,1250,2050,0,0,1,5,5
40556,114.25,0,0,de_inferno,0,500,500,400,300,600,550,0,0,1,5,5
40557,94.25,0,0,de_inferno,0,490,500,393,300,600,550,0,0,1,5,5
40558,74.25,0,0,de_inferno,0,490,500,393,300,600,550,0,0,1,5,5
40559,33.02,0,0,de_inferno,1,300,400,200,300,300,1050,0,0,1,3,4
40560,13.02,0,0,de_inferno,1,97,400,0,300,0,1650,0,0,1,1,4
40561,174.94,0,1,de_inferno,0,500,500,0,300,10400,18600,0,0,0,5,5
40562,114.94,0,1,de_inferno,0,500,500,500,500,1200,1900,3,5,1,5,5
40563,94.94,0,1,de_inferno,0,500,500,500,500,1200,1900,3,5,1,5,5
40564,74.94,0,1,de_inferno,0,500,500,500,500,1200,1900,3,5,1,5,5
40565,54.94,0,1,de_inferno,0,475,310,500,392,1500,1700,3,4,1,5,4
40566,23.45,0,1,de_inferno,1,139,0,188,0,1100,0,1,0,1,2,0
40567,174.93,1,1,de_inferno,0,500,500,188,0,20500,14100,1,0,1,5,5
40568,114.94,1,1,de_inferno,0,500,500,500,300,2000,100,5,3,3,5,5
40569,94.94,1,1,de_inferno,0,474,400,496,200,2300,0,5,2,3,5,4
40571,35.59,1,1,de_inferno,1,464,215,496,200,2600,300,5,2,3,5,3
40572,15.59,1,1,de_inferno,1,373,100,396,100,2150,0,4,1,3,4,1
40573,174.93,2,1,de_inferno,0,500,500,396,100,21000,14200,4,1,3,5,5
40574,114.93,2,1,de_inferno,0,500,500,496,100,10700,11800,5,1,4,5,5
40575,94.93,2,1,de_inferno,0,500,485,496,94,10700,11800,5,1,4,5,5
40576,74.93,2,1,de_inferno,0,374,429,396,80,9150,12100,4,1,3,4,5
40577,54.93,2,1,de_inferno,0,174,129,196,80,4200,5700,2,1,1,2,2
40578,21.53,2,1,de_inferno,1,74,0,96,0,2450,0,1,0,1,1,0
40579,174.93,3,1,de_inferno,0,500,500,96,0,30000,29300,1,0,1,5,5
40580,114.94,3,1,de_inferno,0,500,500,496,500,4350,5100,2,5,4,5,5
40581,94.94,3,1,de_inferno,0,500,487,496,500,4350,5100,2,5,4,5,5
40582,74.94,3,1,de_inferno,0,500,487,496,500,4350,5100,2,5,4,5,5
40583,54.94,3,1,de_inferno,0,500,487,496,500,4350,5100,2,5,4,5,5
40584,34.94,3,1,de_inferno,0,400,300,396,300,4350,4650,2,3,3,4,3
40585,31.59,3,1,de_inferno,1,300,300,296,300,1400,5250,1,3,3,3,3
40586,11.59,3,1,de_inferno,1,100,172,100,200,100,4750,0,2,1,1,2
40587,174.92,3,2,de_inferno,0,500,500,0,200,12050,23150,0,2,0,5,5
40588,114.93,3,2,de_inferno,0,500,500,500,500,650,9000,1,5,1,5,5
40589,94.93,3,2,de_inferno,0,500,500,500,500,350,9000,1,5,1,5,5
40590,74.93,3,2,de_inferno,0,500,500,500,500,350,9000,1,5,1,5,5
40591,54.93,3,2,de_inferno,0,374,400,481,400,650,7450,1,4,1,5,4
40592,20.82,3,2,de_inferno,1,347,300,476,300,1250,4800,1,3,1,5,3
40593,174.92,4,2,de_inferno,0,500,500,279,0,19950,23400,1,0,1,5,5
40594,114.93,4,2,de_inferno,0,500,500,479,500,7450,1900,3,5,2,5,5
40595,94.93,4,2,de_inferno,0,500,500,479,498,4900,1900,4,5,3,5,5
40596,74.93,4,2,de_inferno,0,500,500,479,498,4900,1900,4,5,3,5,5
40597,54.93,4,2,de_inferno,0,481,500,472,498,4900,1900,4,5,3,5,5
40599,14.93,4,2,de_inferno,0,471,440,472,493,4900,1900,4,5,3,5,5
40600,33.05,4,2,de_inferno,1,200,213,196,289,1800,1750,1,3,2,2,3
40601,174.92,4,3,de_inferno,0,500,500,0,189,12800,19950,0,2,0,5,5
40602,114.92,4,3,de_inferno,0,500,500,0,489,9600,5550,0,5,0,5,5
40603,94.92,4,3,de_inferno,0,500,500,100,489,8650,5550,0,5,0,5,5
40604,74.92,4,3,de_inferno,0,400,300,100,289,5950,4150,0,3,0,4,3
40605,174.93,4,4,de_inferno,0,500,500,0,257,18750,23600,0,3,0,5,5
40606,114.93,4,4,de_inferno,0,500,500,100,457,15600,11000,0,5,0,5,5
40607,94.93,4,4,de_inferno,0,500,476,100,447,15000,11000,0,5,0,5,5
40608,74.93,4,4,de_inferno,0,500,451,100,445,15000,11000,0,5,0,5,5
40609,54.93,4,4,de_inferno,0,200,339,0,332,5400,9500,0,4,0,2,4
40610,23.72,4,4,de_inferno,1,100,318,0,326,3000,10100,0,4,0,1,4
40611,174.93,4,5,de_inferno,0,500,500,0,324,27300,29050,0,4,0,5,5
40612,175.0,4,5,de_inferno,0,500,500,100,424,18800,21750,0,5,0,5,5
40613,175.0,4,5,de_inferno,0,500,500,500,424,750,21750,1,5,2,5,5
40614,155.17,4,5,de_inferno,0,500,500,500,424,750,21750,1,5,2,5,5
40616,75.17,4,5,de_inferno,0,350,360,382,353,850,17850,0,4,1,4,4
40617,55.17,4,5,de_inferno,0,350,360,382,353,850,17850,0,4,1,4,4
40618,35.17,4,5,de_inferno,0,350,360,382,353,850,17850,0,4,1,4,4
40619,15.17,4,5,de_inferno,0,350,260,382,273,950,13150,0,3,1,4,3
40620,174.93,5,5,de_inferno,0,500,500,297,93,17600,27950,0,1,1,5,5
40621,114.93,5,5,de_inferno,0,500,500,497,493,5400,7350,2,5,3,5,5
40622,94.93,5,5,de_inferno,0,491,394,497,456,5200,7350,2,5,3,5,5
40623,74.93,5,5,de_inferno,0,491,393,497,455,5200,7350,2,5,3,5,5
40624,54.93,5,5,de_inferno,0,491,393,497,455,5200,7350,2,5,3,5,5
40625,34.93,5,5,de_inferno,0,338,100,488,100,6100,100,2,1,3,5,1
40626,174.93,6,5,de_inferno,0,500,500,397,0,22950,17150,1,0,2,5,5
40627,114.93,6,5,de_inferno,0,500,500,500,500,10750,1000,5,5,3,5,5
40629,74.93,6,5,de_inferno,0,316,188,367,300,10850,1250,4,3,3,4,3
40630,54.93,6,5,de_inferno,0,316,188,367,300,10850,1250,4,3,3,4,3
40631,174.92,7,5,de_inferno,0,500,500,300,0,27700,13900,3,0,2,5,5
40632,114.93,7,5,de_inferno,0,500,500,500,100,13200,10550,5,0,4,5,5
40633,94.93,7,5,de_inferno,0,500,500,500,100,13200,10550,5,0,4,5,5
40634,74.93,7,5,de_inferno,0,500,500,500,100,13200,10550,5,0,4,5,5
40635,54.93,7,5,de_inferno,0,500,450,500,100,13200,10550,5,0,4,5,5
40636,174.93,8,5,de_inferno,0,500,500,489,0,30750,25050,5,0,4,5,5
40637,114.93,8,5,de_inferno,0,500,500,489,500,24850,800,5,5,4,5,5
40638,94.93,8,5,de_inferno,0,400,498,389,499,15450,1100,4,5,3,4,5
40639,74.93,8,5,de_inferno,0,300,398,293,399,11100,1350,3,4,2,3,4
40640,29.55,8,5,de_inferno,1,273,338,289,379,11100,1650,3,4,2,3,4
40641,9.55,8,5,de_inferno,1,220,248,289,357,11100,1650,3,4,2,3,4
40642,174.91,8,6,de_inferno,0,500,500,0,157,32550,18850,0,2,0,5,5
40643,175.0,8,6,de_inferno,0,500,500,300,357,10700,5900,2,4,2,5,5
40644,175.0,8,6,de_inferno,0,500,500,500,357,2900,5900,2,4,3,5,5
40646,99.78,8,6,de_inferno,0,320,391,397,356,2300,1150,2,4,3,4,4
40647,79.78,8,6,de_inferno,0,120,355,197,345,150,1550,0,4,1,2,4
40648,59.78,8,6,de_inferno,0,120,355,197,345,150,1550,0,4,1,2,4
40649,34.73,8,6,de_inferno,1,120,355,197,345,150,1850,0,4,2,2,4
40650,175.0,7,8,de_inferno,0,500,500,0,0,4000,4000,0,0,0,5,5
40651,175.0,7,8,de_inferno,0,500,500,0,0,4000,4000,0,0,0,5,5
40652,175.0,7,8,de_inferno,0,500,500,0,100,4000,3350,0,0,0,5,5
40653,175.0,7,8,de_inferno,0,500,500,100,200,3350,2000,0,0,0,5,5
40654,175.0,7,8,de_inferno,0,500,500,200,200,2700,2000,0,0,0,5,5
40655,175.0,7,8,de_inferno,0,500,500,200,200,2700,2000,0,0,0,5,5
40656,175.0,7,8,de_inferno,0,500,500,200,200,2700,2000,0,0,0,5,5
40657,175.0,7,8,de_inferno,0,500,500,200,200,2700,2000,0,0,0,5,5
40658,175.0,7,8,de_inferno,0,500,500,300,200,2050,2000,0,0,0,5,5
40659,175.0,7,8,de_inferno,0,500,500,400,200,600,2000,0,0,0,5,5
40660,175.0,7,8,de_inferno,0,500,500,400,300,600,1350,0,0,0,5,5
40661,175.0,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40662,175.0,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40663,175.0,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40664,161.02,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40665,101.02,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40666,81.03,7,8,de_inferno,0,500,500,400,400,550,700,0,0,0,5,5
40667,34.88,7,8,de_inferno,1,200,419,100,357,150,1900,0,0,0,2,5
40668,14.88,7,8,de_inferno,1,200,419,100,357,150,1900,0,0,0,2,5
40669,174.94,7,9,de_inferno,0,500,500,0,320,10050,19700,0,0,0,5,5
40670,114.94,7,9,de_inferno,0,500,500,300,483,1950,1950,1,4,0,5,5
40671,94.94,7,9,de_inferno,0,386,468,262,470,1750,1950,1,4,0,5,5
40672,74.94,7,9,de_inferno,0,386,468,262,470,1750,1950,1,4,0,5,5
40673,54.94,7,9,de_inferno,0,386,368,262,370,2050,1900,1,3,0,5,4
40674,34.94,7,9,de_inferno,0,328,345,262,370,2050,1900,1,3,0,5,4
40675,14.94,7,9,de_inferno,0,328,294,262,279,2350,1550,1,2,0,5,3
40676,28.88,7,9,de_inferno,1,91,252,162,277,950,3050,0,2,0,2,3
40677,8.88,7,9,de_inferno,1,43,152,80,178,100,2200,0,1,0,1,2
40678,174.92,7,10,de_inferno,0,500,500,0,174,14650,20600,0,1,0,5,5
40679,114.92,7,10,de_inferno,0,500,500,0,374,14350,9550,0,3,0,5,5
40680,94.92,7,10,de_inferno,0,481,500,0,474,13650,5450,0,4,0,5,5
40681,74.92,7,10,de_inferno,0,481,500,0,474,13650,5450,0,4,0,5,5
40682,54.92,7,10,de_inferno,0,481,400,0,374,13950,4050,0,3,0,5,4
40683,34.92,7,10,de_inferno,0,481,400,0,374,13950,4050,0,3,0,5,4
40684,31.29,7,10,de_inferno,1,200,304,0,325,5950,5250,0,3,0,2,4
40685,11.29,7,10,de_inferno,1,200,204,0,244,6250,4500,0,3,0,2,3
40686,174.92,7,11,de_inferno,0,500,500,0,118,29050,24750,0,2,0,5,5
40687,114.93,7,11,de_inferno,0,500,500,500,418,1000,6650,3,5,1,5,5
40688,94.93,7,11,de_inferno,0,500,494,500,415,1000,6650,3,5,1,5,5
40689,74.93,7,11,de_inferno,0,500,447,499,399,1000,6650,3,5,1,5,5
40690,54.93,7,11,de_inferno,0,400,325,399,343,500,6900,3,4,1,4,4
40691,34.93,7,11,de_inferno,0,400,325,399,343,500,6900,3,4,1,4,4
40692,14.93,7,11,de_inferno,0,200,125,200,143,300,5100,2,2,1,2,2
40693,174.92,7,12,de_inferno,0,500,500,0,126,18500,24300,0,2,0,5,5
40694,114.93,7,12,de_inferno,0,500,500,400,426,9950,9050,1,5,0,5,5
40695,94.93,7,12,de_inferno,0,500,500,400,426,9950,9050,1,5,0,5,5
40696,74.93,7,12,de_inferno,0,390,476,400,417,7650,9350,1,5,0,4,5
40697,54.93,7,12,de_inferno,0,390,476,400,417,7650,9350,1,5,0,4,5
40698,34.93,7,12,de_inferno,0,302,476,399,417,7650,9350,1,5,0,4,5
40699,14.93,7,12,de_inferno,0,202,476,299,417,5100,9650,1,5,0,3,5
40700,26.76,7,12,de_inferno,1,202,474,299,417,5100,9950,1,5,0,3,5
40701,6.76,7,12,de_inferno,1,202,474,299,417,5100,9950,1,5,0,3,5
40702,174.93,7,13,de_inferno,0,500,500,296,332,26950,27450,1,5,0,5,5
40703,175.0,7,13,de_inferno,0,500,500,496,332,8750,23550,1,5,0,5,5
40704,166.17,7,13,de_inferno,0,500,500,496,332,1950,22650,1,5,1,5,5
40705,106.17,7,13,de_inferno,0,500,500,496,332,1950,22650,1,5,1,5,5
40706,86.17,7,13,de_inferno,0,500,446,496,314,1950,22650,1,5,1,5,5
40707,66.17,7,13,de_inferno,0,500,446,496,314,1950,22650,1,5,1,5,5
40708,46.17,7,13,de_inferno,0,500,444,496,314,1950,22650,1,5,1,5,5
40709,26.17,7,13,de_inferno,0,500,444,496,314,1950,22650,1,5,1,5,5
40710,6.17,7,13,de_inferno,0,172,79,199,81,1900,4200,0,1,1,2,1
40711,174.92,8,13,de_inferno,0,500,500,199,81,19200,28950,0,1,1,5,5
40712,114.93,8,13,de_inferno,0,500,500,499,481,3500,8750,3,5,1,5,5
40713,94.93,8,13,de_inferno,0,500,495,499,480,3500,8450,3,5,1,5,5
40714,74.93,8,13,de_inferno,0,499,436,499,459,3500,8450,3,5,1,5,5
40715,54.93,8,13,de_inferno,0,499,436,499,459,3500,8450,3,5,1,5,5
40716,34.93,8,13,de_inferno,0,399,200,400,200,2550,6250,3,2,1,4,2
40718,114.93,9,13,de_inferno,0,500,500,500,100,10100,10350,5,0,2,5,5
40719,94.93,9,13,de_inferno,0,500,462,500,100,10100,10350,5,0,2,5,5
40720,74.93,9,13,de_inferno,0,467,192,500,100,10800,4700,5,0,2,5,2
40721,54.93,9,13,de_inferno,0,300,39,300,97,6900,2350,3,0,1,3,1
40722,174.93,10,13,de_inferno,0,500,500,300,0,27650,22750,3,0,1,5,5
40723,175.0,10,13,de_inferno,0,500,500,500,0,13450,22750,5,0,2,5,5
40724,175.0,10,13,de_inferno,0,500,500,500,400,13450,5550,5,4,2,5,5
40725,157.4,10,13,de_inferno,0,500,500,500,500,13150,550,5,5,2,5,5
40726,97.4,10,13,de_inferno,0,500,500,500,500,13150,550,5,5,2,5,5
40727,77.4,10,13,de_inferno,0,500,493,500,499,13150,550,5,5,2,5,5
40728,57.4,10,13,de_inferno,0,344,253,391,283,12000,750,4,3,2,4,3
40729,27.2,10,13,de_inferno,1,117,0,192,0,5750,0,2,0,1,2,0
40730,174.91,11,13,de_inferno,0,500,500,192,0,32450,20250,2,0,2,5,5
40731,114.92,11,13,de_inferno,0,500,500,492,500,14550,10200,5,2,2,5,5
40732,94.92,11,13,de_inferno,0,500,488,492,494,14350,10200,5,2,2,5,5
40733,74.92,11,13,de_inferno,0,500,444,492,483,14350,10200,5,2,2,5,5
40734,54.92,11,13,de_inferno,0,398,346,389,466,11250,10500,4,2,2,4,5
40735,34.92,11,13,de_inferno,0,198,132,189,180,4400,4700,2,1,1,2,2
40736,28.37,11,13,de_inferno,1,137,0,175,0,4800,0,2,0,2,2,0
40737,174.91,12,13,de_inferno,0,500,500,175,0,33450,32000,2,0,2,5,5
40738,114.92,12,13,de_inferno,0,500,500,475,500,12950,5750,5,5,5,5,5
40739,94.92,12,13,de_inferno,0,500,438,475,495,12950,5750,5,5,5,5,5
40740,74.92,12,13,de_inferno,0,500,438,475,495,12950,5750,5,5,5,5,5
40741,54.92,12,13,de_inferno,0,500,404,474,481,12950,5750,5,5,5,5,5
40742,34.92,12,13,de_inferno,0,300,148,275,193,6950,2050,3,2,3,3,2
40743,21.16,12,13,de_inferno,1,200,148,175,193,5450,2450,2,2,2,2,2
40744,174.91,12,14,de_inferno,0,500,500,0,94,20950,23000,0,1,0,5,5
40745,175.0,12,14,de_inferno,0,500,500,0,394,13100,8050,0,4,0,5,5
40746,171.11,12,14,de_inferno,0,500,500,500,494,2850,3650,4,5,0,5,5
40747,111.11,12,14,de_inferno,0,500,500,500,494,1050,3650,4,5,1,5,5
40748,91.11,12,14,de_inferno,0,200,268,200,292,100,450,2,3,1,2,3
40749,71.11,12,14,de_inferno,0,100,184,100,194,100,750,1,2,0,1,2
40750,51.11,12,14,de_inferno,0,100,184,100,194,100,750,1,2,0,1,2
40751,30.7,12,14,de_inferno,1,100,184,100,194,100,1050,1,2,1,1,2
40752,10.7,12,14,de_inferno,1,100,184,100,194,100,1050,1,2,1,1,2
40753,174.92,12,15,de_inferno,0,500,500,0,189,11550,21500,0,2,0,5,5
40754,114.93,12,15,de_inferno,0,500,500,500,489,550,5200,1,5,1,5,5
40755,94.93,12,15,de_inferno,0,277,266,298,275,50,1750,1,3,0,3,3
40756,74.93,12,15,de_inferno,0,200,266,200,275,0,2050,1,3,0,2,3
40757,54.93,12,15,de_inferno,0,200,266,200,275,0,2050,1,3,0,2,3
40758,25.8,12,15,de_inferno,1,200,263,200,275,0,2350,1,3,1,2,3
40759,174.95,0,0,de_inferno,0,500,500,0,0,4000,4000,0,0,0,5,5
40760,114.95,0,0,de_inferno,0,500,500,400,400,600,600,0,0,0,5,5
40761,94.95,0,0,de_inferno,0,500,394,400,359,600,600,0,0,0,5,5
40762,26.7,0,0,de_inferno,1,210,328,285,272,750,1050,0,0,0,4,4
40763,6.7,0,0,de_inferno,1,64,100,76,0,1050,0,0,0,0,1,1
40764,174.95,0,1,de_inferno,0,500,500,0,0,11300,18650,0,0,0,5,5
40765,114.95,0,1,de_inferno,0,500,500,500,500,1150,2250,4,5,0,5,5
40766,94.95,0,1,de_inferno,0,500,500,500,500,1150,2250,4,5,0,5,5
40767,74.95,0,1,de_inferno,0,353,499,447,500,1150,2250,4,5,0,5,5
40768,54.95,0,1,de_inferno,0,351,499,445,500,1150,2250,4,5,0,5,5
40769,34.95,0,1,de_inferno,0,251,317,345,380,1100,2550,3,4,0,4,4
40770,14.95,0,1,de_inferno,0,33,94,76,178,950,2250,1,2,0,1,2
40771,174.95,0,2,de_inferno,0,500,500,0,176,13850,21500,0,2,0,5,5
40772,114.95,0,2,de_inferno,0,500,500,0,476,12050,7850,0,5,0,5,5
40773,94.95,0,2,de_inferno,0,206,416,0,433,7250,9050,0,5,0,3,5
40774,74.95,0,2,de_inferno,0,206,416,0,433,7250,9050,0,5,0,3,5
40775,27.97,0,2,de_inferno,1,106,394,0,429,5300,9950,0,5,0,2,5
40776,174.95,0,3,de_inferno,0,500,500,0,341,26550,27400,0,4,0,5,5
40777,114.95,0,3,de_inferno,0,500,500,500,441,300,16900,3,5,2,5,5
40778,94.95,0,3,de_inferno,0,385,500,395,440,200,17200,2,5,1,4,5
40779,74.95,0,3,de_inferno,0,385,500,395,440,200,17200,2,5,1,4,5
40780,54.95,0,3,de_inferno,0,371,500,395,440,200,17200,2,5,1,4,5
40781,34.95,0,3,de_inferno,0,360,500,395,440,200,17200,2,5,1,4,5
40782,14.95,0,3,de_inferno,0,274,111,295,179,800,3950,2,2,1,3,2
40783,174.95,1,3,de_inferno,0,500,500,188,0,18050,24600,1,0,1,5,5
40784,114.95,1,3,de_inferno,0,500,500,488,500,2650,2500,3,5,3,5,5
40785,94.95,1,3,de_inferno,0,500,494,488,497,2250,2500,3,5,4,5,5
40786,74.95,1,3,de_inferno,0,500,487,488,494,2250,2500,3,5,4,5,5
40787,54.95,1,3,de_inferno,0,500,487,488,494,2250,2500,3,5,4,5,5
40788,34.95,1,3,de_inferno,0,500,487,488,494,2250,2500,3,5,4,5,5
40789,38.48,1,3,de_inferno,1,300,387,290,394,1000,3350,3,4,2,3,4
40790,18.48,1,3,de_inferno,1,300,387,290,394,1000,3350,3,4,2,3,4
40791,174.95,1,4,de_inferno,0,500,500,290,380,14550,20900,3,4,2,5,5
40792,114.95,1,4,de_inferno,0,500,500,490,480,3750,11900,3,5,4,5,5
40793,94.95,1,4,de_inferno,0,500,402,490,445,3150,11700,3,5,4,5,5
40794,74.95,1,4,de_inferno,0,500,402,490,445,3150,11700,3,5,4,5,5
40795,54.95,1,4,de_inferno,0,500,402,490,445,3150,11700,3,5,4,5,5
40796,34.95,1,4,de_inferno,0,500,402,490,445,3150,11700,3,5,4,5,5
40797,14.95,1,4,de_inferno,0,400,338,390,429,2800,12000,3,5,3,4,5
40798,28.18,1,4,de_inferno,1,400,338,390,429,2800,12300,3,5,3,4,5
40799,8.18,1,4,de_inferno,1,400,338,390,429,2800,12300,3,5,3,4,5
40800,174.96,1,5,de_inferno,0,500,500,390,423,17650,29800,3,5,3,5,5
40801,175.0,1,5,de_inferno,0,500,500,390,423,17650,24000,3,5,3,5,5
40802,174.31,1,5,de_inferno,0,500,500,390,423,17650,24000,3,5,3,5,5
40803,114.31,1,5,de_inferno,0,500,500,490,423,13200,24000,3,5,3,5,5
40804,94.31,1,5,de_inferno,0,500,500,490,423,13000,24000,3,5,3,5,5
40805,74.31,1,5,de_inferno,0,500,500,490,423,13000,24000,3,5,3,5,5
40806,54.31,1,5,de_inferno,0,466,411,485,400,13000,24000,3,5,3,5,5
40807,34.31,1,5,de_inferno,0,466,370,485,316,13600,20700,3,4,3,5,4
40808,34.3,1,5,de_inferno,1,266,253,285,307,9850,21600,3,4,3,3,4
40809,14.3,1,5,de_inferno,1,262,253,285,307,9850,21600,3,4,3,3,4
40810,174.95,1,6,de_inferno,0,500,500,285,291,30600,42400,3,4,3,5,5
40811,175.0,1,6,de_inferno,0,500,500,285,391,30600,33200,3,5,3,5,5
40812,167.66,1,6,de_inferno,0,500,500,385,391,18400,33200,3,5,3,5,5
40813,107.66,1,6,de_inferno,0,500,500,485,391,15050,33200,3,5,3,5,5
40814,87.66,1,6,de_inferno,0,500,465,485,378,15050,33200,3,5,3,5,5
40815,67.66,1,6,de_inferno,0,471,465,480,378,15050,33200,3,5,3,5,5
40816,47.66,1,6,de_inferno,0,471,456,480,376,15050,33200,3,5,3,5,5
40817,27.66,1,6,de_inferno,0,457,456,480,376,15050,33200,3,5,3,5,5
40818,7.66,1,6,de_inferno,0,308,156,375,142,10850,15000,2,2,2,4,2
40819,25.71,1,6,de_inferno,1,197,61,200,76,3350,9250,0,1,0,2,1
40820,174.95,2,6,de_inferno,0,500,500,200,0,34150,45400,0,0,2,5,5
40821,114.95,2,6,de_inferno,0,500,500,500,500,11700,18700,4,5,5,5,5
40822,94.95,2,6,de_inferno,0,500,500,500,500,11700,18700,4,5,5,5,5
40823,74.95,2,6,de_inferno,0,500,500,500,500,11700,18700,4,5,5,5,5
40824,54.95,2,6,de_inferno,0,418,500,496,500,11700,18700,4,5,5,5,5
40825,34.95,2,6,de_inferno,0,398,400,496,399,12000,14800,4,4,5,5,4
40826,14.95,2,6,de_inferno,0,280,300,300,299,7700,13400,2,3,3,3,3
40827,174.95,2,7,de_inferno,0,500,500,0,274,26800,36550,0,3,0,5,5
40828,114.95,2,7,de_inferno,0,500,500,500,474,400,23650,3,5,2,5,5
40829,94.95,2,7,de_inferno,0,500,475,500,463,400,23650,3,5,2,5,5
40830,74.95,2,7,de_inferno,0,438,435,493,463,400,23650,3,5,2,5,5
40831,54.95,2,7,de_inferno,0,438,435,493,463,400,23650,3,5,2,5,5
40832,34.95,2,7,de_inferno,0,437,335,491,363,700,18500,3,4,2,5,4
40833,32.05,2,7,de_inferno,1,204,56,286,80,1000,9450,3,1,1,3,1
40834,174.95,3,7,de_inferno,0,500,500,282,0,19700,35350,3,0,2,5,5
40835,114.95,3,7,de_inferno,0,500,500,482,500,5250,11550,4,5,3,5,5
40836,94.95,3,7,de_inferno,0,400,500,393,500,4850,11850,3,5,3,4,5
40837,74.95,3,7,de_inferno,0,369,500,381,500,4850,11850,3,5,3,4,5
40838,54.95,3,7,de_inferno,0,269,400,282,400,3850,9600,2,4,2,3,4
40839,34.95,3,7,de_inferno,0,269,300,282,300,4150,5450,2,3,2,3,3
40840,31.41,3,7,de_inferno,1,269,300,282,300,4150,5750,2,3,3,3,3
40841,174.95,3,8,de_inferno,0,500,500,0,80,18050,29600,0,1,0,5,5
40842,114.95,3,8,de_inferno,0,500,500,200,480,13400,9400,1,5,0,5,5
40843,94.95,3,8,de_inferno,0,500,491,300,479,12150,9400,1,5,0,5,5
